ID_cliente,Nombre,Apellido,Edad,Provincia,Ocupacion,Saldo_cuenta,Limite_credito,Tiene_tarjeta,Producto_principal,Fecha_alta,Nivel_satisfaccion
1,Diego,Fernández,67,Tucumán,Desempleado,,123027.71,True,Tarjeta de crédito,2017-01-23,6.0
2,Lucía,García,77,Santa Fe,Empresario,112856.92,182542.98,True,Caja de ahorro,2017-01-16,8.0
3,Ana,Sánchez,60,Salta,Desempleado,175554.01,,True,Plazo fijo,2016-11-18,5.0
4,Carlos,Díaz,54,Santa Fe,Empleado,-6681.79,142505.72,False,Cuenta corriente,2016-12-23,2.0
5,Diego,Gómez,32,Salta,,22934.41,171855.97,False,Caja de ahorro,2019-04-16,4.0
6,Marta,Sánchez,45,Salta,Jubilado,133780.5,123626.87,False,Tarjeta de crédito,2017-01-16,
7,Pedro,Romero,35,Mendoza,Desempleado,168198.39,191757.87,True,Tarjeta de crédito,2015-08-30,
8,Diego,Rodríguez,51,Buenos Aires,Desempleado,75505.36,149290.36,False,Caja de ahorro,2022-06-05,6.0
8,Diego,Rodríguez,51,Buenos Aires,Desempleado,75505.36,149290.36,False,Caja de ahorro,2022-06-05,6.0
8,Diego,Rodríguez,51,Buenos Aires,Desempleado,75505.36,149290.36,False,Caja de ahorro,2022-06-05,6.0
9,Ana,López,39,Tucumán,Empresario,87.97,89675.23,False,Tarjeta de crédito,2016-12-08,2.0
10,Carlos,Fernández,28,Mendoza,Estudiante,171596.21,123199.89,False,Cuenta corriente,2016-03-10,6.0
11,Lucía,García,75,Mendoza,Estudiante,59446.74,202327.42,True,Cuenta corriente,2017-02-19,1.0
12,Ana,Fernández,74,Neuquén,Empresario,81937.68,112519.9,False,Tarjeta de crédito,2016-04-28,
13,Ana,Sánchez,30,Salta,Estudiante,115952.24,185763.1,False,Tarjeta de crédito,2021-08-28,3.0
14,Pedro,López,21,Salta,Empleado,,154866.94,True,Cuenta corriente,2019-03-14,9.0
15,Sofía,Romero,39,Tucumán,Estudiante,56193.51,143131.99,True,Tarjeta de crédito,2015-06-19,2.0
16,Carlos,Martínez,24,Santa Fe,Empresario,57109.99,250503.77,True,Préstamo personal,2017-10-17,8.0
17,María,Gómez,78,Santa Fe,Estudiante,192896.43,98631.35,True,Plazo fijo,2023-03-17,6.0
18,Ana,López,60,Chubut,Jubilado,157980.68,120394.66,True,Préstamo personal,2017-05-18,6.0
19,Sofía,Rodríguez,71,Mendoza,Desempleado,128725.87,149062.8,True,Tarjeta de crédito,2021-06-28,
20,María,Díaz,41,Chubut,Empleado,-9321.66,246629.98,False,Tarjeta de crédito,2017-04-27,5.0
21,Carlos,Romero,21,Córdoba,Jubilado,128909.59,149155.95,False,Plazo fijo,2019-02-06,4.0
22,Juan,Gómez,45,Córdoba,Jubilado,126210.01,160970.12,True,Tarjeta de crédito,2016-11-26,6.0
23,Marta,García,32,Chubut,Empresario,36093.34,136566.58,False,Plazo fijo,2021-08-03,
24,Sofía,Díaz,18,Santa Fe,Desempleado,112935.51,164345.14,True,Cuenta corriente,2015-02-01,4.0
25,Luis,Sánchez,72,Córdoba,Desempleado,152574.62,139047.3,False,Plazo fijo,2015-06-26,5.0
26,Juan,López,20,Neuquén,Empleado,128468.3,177812.9,True,Plazo fijo,2023-02-12,7.0
27,Marta,Gómez,31,Santa Fe,Empresario,,180967.49,True,Préstamo personal,2020-10-13,6.0
28,Pedro,Pérez,55,Salta,Empleado,100663.23,140635.79,False,Tarjeta de crédito,2020-09-05,4.0
29,Diego,Martínez,67,Mendoza,Estudiante,136517.85,104980.8,False,Cuenta corriente,2019-02-11,4.0
30,Lucía,Martínez,74,Buenos Aires,Jubilado,102972.6,153742.79,False,Caja de ahorro,2021-05-04,10.0
31,Luis,Romero,18,Mendoza,Empleado,162714.24,206084.87,False,Plazo fijo,2022-03-29,4.0
32,Pedro,García,55,Chubut,Jubilado,,116933.58,False,Caja de ahorro,2015-03-07,1.0
33,Carlos,Romero,55,Santa Fe,Empresario,137646.13,163356.68,False,Tarjeta de crédito,2015-05-13,5.0
34,Pedro,Pérez,38,Chubut,Estudiante,141070.03,101770.38,False,Plazo fijo,2020-04-12,8.0
35,Diego,Rodríguez,65,Neuquén,Empresario,46665.86,108407.71,False,Caja de ahorro,2017-07-04,7.0
36,Carlos,García,46,Santa Fe,Estudiante,102499.3,202014.63,True,Préstamo personal,2020-10-30,
37,Luis,Fernández,22,Mendoza,Estudiante,83382.28,177661.34,False,Caja de ahorro,2020-03-31,3.0
38,Diego,Rodríguez,66,Neuquén,,152192.3,163958.61,False,Préstamo personal,2020-01-29,1.0
39,María,García,27,Neuquén,Empresario,123161.65,57129.07,True,Cuenta corriente,2018-09-13,7.0
40,Lucía,García,45,Neuquén,Empresario,90589.38,127884.29,True,Tarjeta de crédito,2016-08-07,3.0
41,Luis,Pérez,38,Tucumán,Empleado,35907.43,174272.56,True,Caja de ahorro,2021-07-02,
42,María,Sánchez,67,Santa Fe,Empresario,20154.58,92037.38,True,Plazo fijo,2022-02-02,5.0
43,Marta,Pérez,24,Córdoba,Empleado,115517.13,135844.58,False,Tarjeta de crédito,2018-02-22,8.0
44,Luis,García,20,Córdoba,Desempleado,64139.37,180666.15,False,Caja de ahorro,2021-03-07,7.0
45,Marta,Gómez,62,Santa Fe,Desempleado,133306.32,89554.45,True,Plazo fijo,2019-10-15,
46,Carlos,Rodríguez,64,Santa Fe,Desempleado,17842.99,82828.54,True,Plazo fijo,2020-12-20,3.0
47,María,Pérez,37,Tucumán,Empresario,179647.56,90246.88,False,Plazo fijo,2021-01-13,10.0
48,Lucía,Sánchez,36,Córdoba,Empresario,133193.2,163379.41,False,Plazo fijo,2020-03-07,1.0
49,Diego,López,52,Santa Fe,Empleado,104959.25,127720.06,False,Caja de ahorro,2023-01-01,1.0
50,Ana,Romero,21,Santa Fe,,184152.95,185121.95,False,Cuenta corriente,2021-08-26,
51,Pedro,García,22,Chubut,Empleado,,154840.74,True,Préstamo personal,2017-08-31,1.0
52,Juan,Fernández,18,Tucumán,Desempleado,76249.84,225221.39,False,Préstamo personal,2022-03-27,2.0
53,Lucía,López,21,Tucumán,Empleado,103878.82,100500.71,True,Préstamo personal,2018-12-13,2.0
54,María,Martínez,29,Mendoza,Estudiante,1786.29,163270.87,True,Cuenta corriente,2021-11-24,7.0
55,Ana,Díaz,77,Tucumán,Empresario,,118191.41,True,Plazo fijo,2015-08-22,9.0
56,Lucía,Sánchez,44,Buenos Aires,Empleado,85202.42,174008.51,False,Plazo fijo,2022-03-04,8.0
57,María,Fernández,73,Córdoba,Desempleado,1138.76,154797.44,True,Tarjeta de crédito,2019-01-17,4.0
58,Sofía,Díaz,59,Mendoza,Desempleado,40908.07,110275.17,False,Préstamo personal,2019-05-13,
59,Sofía,Sánchez,40,Buenos Aires,Empresario,143545.6,143713.91,True,Préstamo personal,2017-02-09,3.0
60,Marta,Gómez,42,Santa Fe,Empleado,180690.14,152923.92,False,Plazo fijo,2021-06-06,
61,Lucía,Romero,38,Chubut,Estudiante,101021.28,126027.64,True,Préstamo personal,2015-11-02,5.0
62,Sofía,López,78,Chubut,,50897.43,179086.69,True,Plazo fijo,2015-01-02,9.0
63,María,Rodríguez,75,Santa Fe,,28962.52,108756.3,False,Plazo fijo,2015-09-28,8.0
64,Marta,Sánchez,69,Mendoza,Jubilado,170730.73,233640.34,False,Plazo fijo,2016-02-25,3.0
65,María,Rodríguez,41,Tucumán,Desempleado,122473.39,188147.61,True,Caja de ahorro,2022-07-10,9.0
66,Marta,Romero,42,Neuquén,Estudiante,83493.02,163949.64,True,Caja de ahorro,2017-05-13,10.0
67,Lucía,García,62,Chubut,Estudiante,71586.41,,False,Caja de ahorro,2020-02-20,3.0
68,Ana,Martínez,72,Neuquén,Estudiante,133591.48,137628.05,True,Caja de ahorro,2017-10-06,10.0
69,Diego,López,63,Santa Fe,Desempleado,132215.92,174455.03,False,Cuenta corriente,2023-01-05,8.0
70,Luis,Romero,49,Neuquén,,55170.78,,False,Tarjeta de crédito,2022-07-02,1.0
71,Ana,Romero,72,Salta,Empresario,42881.38,181898.71,True,Tarjeta de crédito,2022-12-24,4.0
72,Carlos,Gómez,49,Mendoza,Empleado,45404.87,209844.65,False,Plazo fijo,2017-11-26,4.0
73,María,Díaz,22,Buenos Aires,Empresario,76588.77,171957.98,True,Préstamo personal,2015-04-17,6.0
74,Carlos,Martínez,53,Mendoza,Estudiante,65510.73,191671.76,False,Caja de ahorro,2020-01-23,2.0
75,Ana,López,63,Córdoba,Empleado,180904.6,,False,Tarjeta de crédito,2021-05-17,7.0
76,Marta,García,59,Tucumán,Estudiante,74810.97,141753.99,True,Tarjeta de crédito,2018-02-07,5.0
77,Luis,García,66,Tucumán,Jubilado,37516.68,,False,Caja de ahorro,2016-07-02,10.0
78,Luis,Pérez,59,Mendoza,Estudiante,40325.13,173874.25,True,Cuenta corriente,2022-02-12,6.0
79,Juan,Romero,75,Santa Fe,Estudiante,90801.42,159932.95,False,Cuenta corriente,2019-06-09,6.0
80,Luis,Sánchez,56,Santa Fe,Empresario,8893.79,119870.23,False,Tarjeta de crédito,2020-01-12,6.0
81,Diego,Gómez,33,Salta,,96993.96,188663.84,False,Cuenta corriente,2021-02-13,
82,Luis,Martínez,50,Salta,Estudiante,33189.52,118741.38,False,Caja de ahorro,2022-08-31,8.0
83,Ana,García,66,Tucumán,Estudiante,157930.52,106953.37,True,Tarjeta de crédito,2022-12-27,10.0
84,Juan,López,38,Salta,Jubilado,105828.12,154597.03,False,Caja de ahorro,2019-02-20,4.0
85,Ana,Pérez,78,Chubut,Jubilado,206051.18,53900.3,False,Cuenta corriente,2018-10-09,10.0
86,Ana,López,26,Chubut,Empleado,88589.97,174443.07,False,Caja de ahorro,2015-01-19,8.0
87,Pedro,Gómez,23,Buenos Aires,Empresario,-56587.19,165077.77,True,Cuenta corriente,2017-05-08,9.0
88,Juan,Sánchez,68,Salta,Jubilado,172884.06,135887.86,True,Cuenta corriente,2018-11-17,4.0
89,Ana,Pérez,62,Buenos Aires,Jubilado,125096.16,139515.27,True,Caja de ahorro,2018-07-08,1.0
90,Pedro,Pérez,52,Salta,Desempleado,132845.39,145227.16,True,Cuenta corriente,2016-02-14,3.0
91,Pedro,Díaz,56,Tucumán,Jubilado,49870.82,118434.9,False,Plazo fijo,2018-11-27,1.0
92,Juan,Martínez,39,Tucumán,Empresario,97857.6,157382.91,False,Caja de ahorro,2019-08-21,
93,Carlos,Pérez,58,Buenos Aires,Estudiante,109323.04,,False,Plazo fijo,2021-12-06,1.0
94,Marta,Díaz,71,Mendoza,Estudiante,88108.97,154498.09,True,Caja de ahorro,2016-09-15,4.0
95,Diego,Díaz,22,Tucumán,Estudiante,13281.86,,True,Cuenta corriente,2016-10-17,
96,Marta,Gómez,59,Mendoza,Estudiante,238434.6,135898.85,False,Cuenta corriente,2017-02-06,2.0
97,Luis,Rodríguez,40,Santa Fe,,141791.46,161139.7,False,Tarjeta de crédito,2015-01-18,1.0
98,Diego,López,34,Chubut,Jubilado,121029.2,181243.99,False,Tarjeta de crédito,2021-02-09,
99,Luis,Sánchez,29,Buenos Aires,Estudiante,165694.28,129009.23,True,Plazo fijo,2021-09-18,7.0
100,Ana,Fernández,40,Neuquén,Empleado,132209.61,165818.93,False,Cuenta corriente,2022-10-17,3.0
101,María,López,33,Tucumán,Estudiante,66139.86,170777.22,False,Tarjeta de crédito,2021-12-01,8.0
102,Juan,Pérez,20,Córdoba,Jubilado,162489.14,98645.44,True,Cuenta corriente,2019-12-22,
103,Diego,Sánchez,47,Santa Fe,Estudiante,142610.8,189061.78,True,Caja de ahorro,2019-11-16,5.0
104,Diego,García,74,Mendoza,Desempleado,68035.71,232258.05,False,Tarjeta de crédito,2015-01-08,5.0
